Team,PER,W/L%,Expected Rank,Real Rank
Houston Rockets,246.7,0.625,1.0,10.0
Milwaukee Bucks,242.29999999999995,0.815,2.0,1.0
Dallas Mavericks,231.90000000000003,0.597,3.0,13.0
Detroit Pistons,223.70000000000002,0.303,4.0,26.0
Orlando Magic,222.40000000000003,0.462,5.0,16.0
Boston Celtics,214.60000000000002,0.672,6.0,5.0
San Antonio Spurs,211.5,0.429,7.0,20.0
Los Angeles Lakers,211.00000000000003,0.778,8.0,2.0
Denver Nuggets,210.10000000000002,0.662,9.0,6.0
Indiana Pacers,210.0,0.6,10.0,12.0
Cleveland Cavaliers,209.50000000000003,0.292,11.0,29.0
Philadelphia 76ers,208.39999999999998,0.6,12.0,12.0
Los Angeles Clippers,207.59999999999997,0.688,13.0,4.0
Golden State Warriors,203.79999999999998,0.231,14.0,30.0
Washington Wizards,203.5,0.375,15.0,22.0
New Orleans Pelicans,202.29999999999998,0.43799999999999994,16.0,19.0
Memphis Grizzlies,200.70000000000002,0.49200000000000005,17.0,14.0
Sacramento Kings,200.7,0.43799999999999994,18.0,19.0
Brooklyn Nets,200.20000000000002,0.469,19.0,15.0
Toronto Raptors,195.79999999999998,0.7190000000000001,20.0,3.0
Chicago Bulls,194.30000000000004,0.33799999999999997,21.0,24.0
Phoenix Suns,190.9,0.4,22.0,21.0
Miami Heat,190.20000000000002,0.631,23.0,8.0
Charlotte Hornets,185.59999999999997,0.354,24.0,23.0
New York Knicks,173.20000000000002,0.318,25.0,25.0
Utah Jazz,170.10000000000002,0.6409999999999999,26.0,7.0
Atlanta Hawks,162.89999999999998,0.299,27.0,27.0
Portland Trail Blazers,162.1,0.439,28.0,17.0
Oklahoma City Thunder,160.39999999999998,0.625,29.0,10.0
Minnesota Timberwolves,152.1,0.297,30.0,28.0
