Team,% Time playing Top 5,% Time playing Mid 5,% Time playing Top 10,% Time playing the rest
Cleveland Cavaliers,0.65,0.25,0.9,0.1
Toronto Raptors,0.64,0.31,0.95,0.05
Washington Wizards,0.63,0.25,0.88,0.12
Boston Celtics,0.55,0.37,0.93,0.07
Chicago Bulls,0.53,0.31,0.84,0.16
Miami Heat,0.61,0.37,0.98,0.02
Indiana Pacers,0.58,0.33,0.91,0.09
Brooklyn Nets,0.52,0.32,0.84,0.16
Charlotte Hornets,0.57,0.28,0.85,0.15
Orlando Magic,0.64,0.3,0.94,0.06
New York Knicks,0.53,0.32,0.84,0.16
Milwaukee Bucks,0.59,0.31,0.9,0.1
Atlanta Hawks,0.52,0.36,0.88,0.12
Detroit Pistons,0.61,0.28,0.9,0.1
Philadelphia 76ers,0.7,0.23,0.93,0.07
Dallas Mavericks,0.63,0.26,0.89,0.11
Denver Nuggets,0.55,0.38,0.92,0.08
Golden State Warriors,0.59,0.3,0.88,0.12
Houston Rockets,0.66,0.28,0.93,0.07
Los Angeles Clippers,0.69,0.2,0.9,0.1
Los Angeles Lakers,0.55,0.36,0.91,0.09
Memphis Grizzlies,0.55,0.25,0.8,0.2
Minnesota Timberwolves,0.53,0.33,0.86,0.14
New Orleans Pelicans,0.53,0.29,0.82,0.18
Oklahoma City Thunder,0.66,0.26,0.92,0.08
Phoenix Suns,0.55,0.3,0.84,0.16
Portland Trail Blazers,0.59,0.34,0.92,0.08
Sacramento Kings,0.65,0.29,0.94,0.06
San Antonio Spurs,0.58,0.37,0.95,0.05
Utah Jazz,0.61,0.3,0.91,0.09
